epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,13562.1,0.33502,0.62057,0.33565,0.86484,0.76673,0.77813,0.61443,0.33199,0.52614,0.55599,3.03665e-05,3.03665e-05,3.03665e-05
40,13871.1,0.33339,0.60782,0.32104,0.85054,0.77878,0.77987,0.61688,0.34315,0.49206,0.60511,2.80275e-05,2.80275e-05,2.80275e-05
41,14182.5,0.32851,0.6026,0.32249,0.85421,0.77197,0.77645,0.61808,0.32867,0.50715,0.5461,2.575e-05,2.575e-05,2.575e-05
42,14493,0.33257,0.61302,0.32368,0.86932,0.77298,0.78968,0.62722,0.32673,0.5024,0.5488,2.35404e-05,2.35404e-05,2.35404e-05
43,14805.9,0.32914,0.58967,0.3224,0.87992,0.78005,0.78872,0.62877,0.33692,0.48245,0.58584,2.14046e-05,2.14046e-05,2.14046e-05
44,15115.8,0.32598,0.59602,0.32107,0.88275,0.7743,0.78702,0.62541,0.33464,0.48638,0.58496,1.93486e-05,1.93486e-05,1.93486e-05
45,15428,0.33261,0.59374,0.32724,0.87337,0.78011,0.79076,0.62537,0.33685,0.50077,0.56991,1.7378e-05,1.7378e-05,1.7378e-05
46,15739.2,0.3306,0.59006,0.32588,0.88549,0.77688,0.78857,0.61863,0.33242,0.51869,0.56793,1.54982e-05,1.54982e-05,1.54982e-05
47,16049.6,0.32438,0.59231,0.32223,0.87461,0.76764,0.78836,0.62482,0.32264,0.52784,0.54068,1.37143e-05,1.37143e-05,1.37143e-05
48,16362.3,0.32697,0.59324,0.32016,0.86071,0.76917,0.7774,0.62089,0.32592,0.51254,0.55984,1.20313e-05,1.20313e-05,1.20313e-05
49,16684.7,0.32798,0.57823,0.3209,0.85357,0.77633,0.78,0.61489,0.33915,0.50749,0.58531,1.04537e-05,1.04537e-05,1.04537e-05
50,17001.8,0.32592,0.58611,0.3199,0.85169,0.78689,0.78485,0.62198,0.32994,0.51543,0.55246,8.98581e-06,8.98581e-06,8.98581e-06
51,17335.3,0.26862,0.49605,0.35592,0.87517,0.77183,0.79542,0.61964,0.33389,0.50506,0.57265,7.63174e-06,7.63174e-06,7.63174e-06
52,17653.8,0.27175,0.47568,0.35216,0.87301,0.77278,0.78892,0.61455,0.34021,0.48482,0.59204,6.39518e-06,6.39518e-06,6.39518e-06
53,17969.4,0.26776,0.47276,0.35382,0.86854,0.7789,0.7923,0.62371,0.33783,0.48142,0.58455,5.2795e-06,5.2795e-06,5.2795e-06
54,18277.8,0.26671,0.47217,0.34756,0.86047,0.78552,0.79325,0.62274,0.34192,0.46767,0.60806,4.28777e-06,4.28777e-06,4.28777e-06
55,18585.5,0.27254,0.47066,0.34827,0.85999,0.78335,0.79217,0.61998,0.34225,0.47638,0.60026,3.4227e-06,3.4227e-06,3.4227e-06
56,18892.9,0.26575,0.47088,0.34771,0.8627,0.79445,0.79565,0.6279,0.33418,0.47962,0.57837,2.68667e-06,2.68667e-06,2.68667e-06
57,19200.8,0.2669,0.46303,0.34597,0.86356,0.79566,0.79135,0.62351,0.33655,0.47626,0.5831,2.08169e-06,2.08169e-06,2.08169e-06
58,19511.4,0.26891,0.46506,0.35501,0.87001,0.79215,0.79162,0.62512,0.33455,0.47472,0.58592,1.60943e-06,1.60943e-06,1.60943e-06
